run	sample
UK181	BPH_1
UK182	BPH_2
UK183	BPH_3
UK184	BPH_4
UK185	BPH_5
UK186	BPH_6
UK187	BPH_7
UK188	BPH_8
UK189	BPH_9
UK227	BPH_10
UK228	BPH_11
UK229	BPH_12
UK230	BPH_13
UK231	BPH_14
UK232	BPH_15
UK233	BPH_16
UK234	BPH_17
UK235	BPH_18
UK236	BPH_19
UK248	BPH_20
UK249	BPH_21
UK250	BPH_22
UK251	BPH_23
UK252	BPH_24
UK253	BPH_25
UK254	BPH_26
UK255	BPH_27
UK256	BPH_28
UK257	BPH_29
UK200	HR_1
UK201	HR_2
UK202	HR_3
UK203	HR_4
UK204	HR_5
UK205	HR_6
UK206	HR_7
UK207	HR_8
UK208	HR_9
UK209	HR_10
UK258	HR_11
UK259	HR_12
UK260	HR_13
UK261	HR_14
UK262	HR_15
UK263	HR_16
UK264	HR_17
UK265	HR_18
UK266	HR_19
UK267	HR_20
UK190	LR_1
UK191	LR_2
UK192	LR_3
UK193	LR_4
UK194	LR_5
UK195	LR_6
UK196	LR_7
UK197	LR_8
UK198	LR_9
UK199	LR_10
UK237	LR_11
UK238	LR_12
UK240	LR_13
UK241	LR_14
UK242	LR_15
UK243	LR_16
UK244	LR_17
UK245	LR_18
UK246	LR_19
